Name,Email,Role,Job Level,Manager Email,Start date,Nationality,Residence,Gender,Personal Email,Birthday,Business Group
Alan Wilkerson,alan.wilkerson@domain.com,Creative Project Manager,2a,Marisol Alexander,2021-09-06,Mexico,Mexico,Male,5826140@gmail.com,1990-12-20,CPM
Janiyah Casey,janiyah.casey@domain.com,Creative Project Manager,1b,Dennis Schneider,2023-08-07,Colombia,Colombia,Female,7211683@gmail.com,1991-07-13,CPM
Armando Merritt,armando.merritt@domain.com,Creative,3b,Rogelio Sandoval,2021-08-02,Colombia,Colombia,Female,6932054@gmail.com,1995-03-27,Creative
Kaisley Kelley,kaisley.kelley@domain.com,Producer,3a,Piper Zimmerman,2023-09-04,Colombia,Colombia,Female,7295753@gmail.com,1990-02-19,Business Function
Eric Leon,eric.leon@domain.com,"Operations Excellence Specialist, Insights",1b,Titus Baxter,2022-11-07,Honduras,Honduras,Female,5751915@gmail.com,1998-06-20,Business Function
Amora Golden,amora.golden@domain.com,Creative,3a,Melody Dixon,2021-08-02,El Salvador,Germany,Female,1100159@gmail.com,1995-03-24,Creative
Amias Huffman,amias.huffman@domain.com,Creative,2b,Blake Glover,2022-07-04,El Salvador,El Salvador,Female,6563641@gmail.com,1996-07-03,Creative
Hayley Clark,hayley.clark@domain.com,Lead Talent Acquisition Partner,3a,Hannah Nelson,2021-02-22,Poland,Poland,Female,5230118@gmail.com,1996-05-27,Business Function
John Pacheco,john.pacheco@domain.com,Director of Product Design,6a,Gwendolyn Peck,2022-11-01,Brazil,Brazil,Female,4245495@gmail.com,1993-10-24,Business Function
Paris Madden,paris.madden@domain.com,Lead Product Designer,4a IC,John Pacheco,2022-08-01,"Italy, Australia",Netherlands,Female,8984210@gmail.com,1993-10-16,Business Function
Everest Ray,everest.ray@domain.com,Creative Team Lead,4a Manager,Murphy Costa,2023-11-06,Brazil,Brazil,Male,3687748@gmail.com,1989-05-29,Creative
Ruth York,ruth.york@domain.com,Creative Project Manager,1a,Mack Townsend,2023-11-06,Mexico,Mexico,Female,1976961@gmail.com,1993-08-06,CPM
Leandro Hayden,leandro.hayden@domain.com,Creative Lead,4a IC,Sawyer Christensen,2022-06-06,South Africa,South Africa,Male,2400102@gmail.com,1996-03-25,Creative
Avayah Orr,avayah.orr@domain.com,Creative,2a,Harris Sawyer,2022-01-10,South Africa,South Africa,Female,3214085@gmail.com,1997-11-29,Creative
Benicio Parsons,benicio.parsons@domain.com,Creative,2b,Elise McCarty,2024-01-08,Brazil,Brazil,Male,7194571@gmail.com,1993-06-10,Business Function
Maia Novak,maia.novak@domain.com,CPM Team Lead,4b Manager,Esme Jacobs,2020-11-09,"Uruguay, Argentina",Argentina,Female,6025178@gmail.com,1988-04-19,CPM
Bishop Weiss,bishop.weiss@domain.com,Creative,2a,Sawyer Christensen,2024-01-08,Nicaragua,Nicaragua,Female,1742016@gmail.com,1997-07-05,Creative
Lennox Lu,lennox.lu@domain.com,Creative,3b,Jaime Higgins,2018-07-18,Romania,Germany,Female,6027988@gmail.com,1991-11-07,Creative
Duncan Wilkinson,duncan.wilkinson@domain.com,Enterprise Business Development Representative,2a,Jeffery Farrell,2023-09-04,Canada,Canada,Female,4032002@gmail.com,1997-08-18,Business Function
Siena Stone,siena.stone@domain.com,Senior Motion Designer & Video Editor,3a,Cannon Howell,2020-11-16,Brazil,Brazil,Male,6181478@gmail.com,1983-10-26,Business Function
Finn Romero,finn.romero@domain.com,Creative Lead,4a Manager,Tinsley Franco,2022-06-06,Portugal,Portugal,Male,8192904@gmail.com,1975-09-13,Business Function
Eliza Wright,eliza.wright@domain.com,Creative,3b,Rogelio Sandoval,2021-08-02,Ukraine,Spain,Female,6677041@gmail.com,1994-01-24,Creative
Grayson Burke,grayson.burke@domain.com,Onboarding Operations Coordinator,3a,Sophie Merritt,2022-08-01,"South Africa, Portugal",Portugal,Female,2760108@gmail.com,1992-12-07,Business Function
Vera Escobar,vera.escobar@domain.com,Senior Account Executive,4a IC,Naya Small,2021-01-04,South Africa,South Africa,Female,1738819@gmail.com,1988-08-21,Business Function
Zachariah Campbell,zachariah.campbell@domain.com,Senior Frontend Engineer,3a,Major O’Neal,2022-10-03,Bosnia & Herzegovina,Bosnia & Herzegovina,Male,8447451@gmail.com,1996-04-27,Business Function
Addison Hoffman,addison.hoffman@domain.com,Creative Team Lead,4b Manager,Murphy Costa,2024-03-04,Spain,Spain,Male,5300335@gmail.com,1989-01-12,Creative
Steven Bryant,steven.bryant@domain.com,Creative,3a,Javier Simpson,2021-03-01,South Africa,South Africa,Female,2038590@gmail.com,1991-03-01,Creative
Parker Hendrix,parker.hendrix@domain.com,Senior Frontend Engineer,3a,Luciana Espinoza,2022-08-08,Jordan,Jordan,Male,3065931@gmail.com,1995-08-05,Business Function
Korbyn Hubbard,korbyn.hubbard@domain.com,Creative,3a,Robin Bradshaw,2016-07-01,Tunisia,Tunisia,Female,6553630@gmail.com,1988-12-11,Creative
Rosie Freeman,rosie.freeman@domain.com,Frontend Engineer,2a,Ariyah Hayden,2022-07-04,Malaysia,Mexico,Male,8847155@gmail.com,1992-12-08,Business Function
Jayce Mata,jayce.mata@domain.com,Creative,2a,Sergio Parrish,2021-01-04,Mexico,Mexico,Female,4869751@gmail.com,1989-02-02,Creative
Lillie McCoy,lillie.mccoy@domain.com,Creative Lead,4b IC,Malayah Morrow,2021-02-01,South Africa,South Africa,Female,2606453@gmail.com,1990-08-12,Creative
Jett Gutierrez,jett.gutierrez@domain.com,Director of CPM Teams,6a,Donald Buck,2019-03-23,South Africa,South Africa,Female,2115786@gmail.com,1984-04-20,Business Function
Savannah Murray,savannah.murray@domain.com,Creative Project Manager,2b,Amias Wolf,2021-08-02,Brazil,Portugal,Female,3788828@gmail.com,1986-02-24,CPM
Ashton Sims,ashton.sims@domain.com,Creative Project Manager,1a,Maeve Allison,2023-11-06,Mexico,Mexico,Female,1177278@gmail.com,1991-08-15,CPM
Lena Page,lena.page@domain.com,Creative,2b,Ariel Lam,2024-05-06,Mexico,Mexico,Female,8846524@gmail.com,1994-05-20,Business Function
Pablo Livingston,pablo.livingston@domain.com,Customer Success Manager,2a,Kai Gates,2024-08-05,Brazil,Brazil,Male,3423502@gmail.com,1991-09-01,Business Function
Milena Zavala,milena.zavala@domain.com,Creative,1b,Helen Faulkner,2022-08-01,El Salvador,El Salvador,Female,6057946@gmail.com,1991-10-03,Creative
Dillon Duncan,dillon.duncan@domain.com,Creative Project Manager,1a,Marisol Alexander,2023-09-18,Venezuela,Argentina,Female,1308991@gmail.com,1995-06-08,CPM
Elise McCarty,elise.mccarty@domain.com,Creative Team Lead,4a Manager,Gideon Murphy,2021-09-06,Colombia,Colombia,Female,8629977@gmail.com,1994-06-14,Business Function
Blaise Stephens,blaise.stephens@domain.com,Creative Project Manager,2b,Dayton Howard,2022-03-07,Colombia,Colombia,Female,6942053@gmail.com,1995-10-07,CPM
Millie Nichols,millie.nichols@domain.com,Creative,3a,Yareli Hail,2022-04-04,Ecuador,Spain,Female,8597986@gmail.com,1995-12-04,Business Function
Atlas Olsen,atlas.olsen@domain.com,Creative Project Manager,3a,Reed Hill,2020-08-03,"Colombia, Spain",Colombia,Female,1309493@gmail.com,1987-04-17,CPM
Oaklyn Russo,oaklyn.russo@domain.com,Creative,3a,Zoie Walker,2023-11-06,Argentina,Argentina,Female,8270598@gmail.com,1988-01-11,Business Function
Jamie Duarte,jamie.duarte@domain.com,Creative Project Manager,2b,Noah Figueroa,2021-05-17,"Venezuela",Colombia,Female,2983032@gmail.com,1989-04-26,CPM
Kynlee Bauer,kynlee.bauer@domain.com,Senior Director of Revenue Operations,6b,Laylah Valenzuela,2021-08-02,Greece,Greece,Male,3101739@gmail.com,1984-08-25,Business Function
Kieran Lindsey,kieran.lindsey@domain.com,CPM Team Lead,4b Manager,Jett Gutierrez,2019-05-06,Romania,Romania,Female,5316481@gmail.com,1989-04-10,CPM
Colette Bryan,colette.bryan@domain.com,Creative Project Manager,1a,Noah Figueroa,2024-09-02,"Venezuela, Spain",Venezuela,Female,5231225@gmail.com,1999-10-14,CPM
Jaxtyn Higgins,jaxtyn.higgins@domain.com,Creative Team Lead,4a Manager,Augustine Nixon,2024-01-08,Colombia,Colombia,Male,6006597@gmail.com,1988-02-23,Creative
Leighton May,leighton.may@domain.com,Senior Director of Growth,6b,Elsa McPherson,2020-08-03,Argentina,Argentina,Male,4962209@gmail.com,1987-12-31,Business Function
Finley Welch,finley.welch@domain.com,Creative,3b,Kareem Wu,2022-01-10,Costa Rica,Costa Rica,Male,1192300@gmail.com,1999-02-12,Creative
Amira Roy,amira.roy@domain.com,Creative Project Manager,2a,Mauricio Martin,2021-09-06,Zimbabwe,South Africa,Female,3709783@gmail.com,1992-01-14,CPM
Marcelo Mitchell,marcelo.mitchell@domain.com,Data and Research Analyst,2a,Finn Romero,2023-08-07,Panama,Panama,Male,8889517@gmail.com,1988-06-25,Business Function
Willow Hensley,willow.hensley@domain.com,Creative,2b,Blake Glover,2021-07-05,Colombia,Colombia,Female,7154959@gmail.com,1995-12-22,Creative
Layne Ellis,layne.ellis@domain.com,Creative Project Manager,2b,Reed Hill,2022-03-14,Mexico,Mexico,Female,2510121@gmail.com,1986-03-27,CPM
Ayla Glenn,ayla.glenn@domain.com,Creative Team Lead,4a Manager,Galilea McIntyre,2021-06-21,Spain,Spain,Female,1292632@gmail.com,1993-03-18,Creative
Zaid Clay,zaid.clay@domain.com,Creative,2b,Malayah Morrow,2021-04-26,Argentina,Argentina,Female,7626110@gmail.com,1993-03-26,Creative
Aliana Friedman,aliana.friedman@domain.com,Senior Customer Success Manager,4a IC,Scarlett Henderson,2021-04-01,South Africa,South Africa,Female,5716253@gmail.com,1983-08-18,Business Function
Darwin Nava,darwin.nava@domain.com,Production Team Lead,4a Manager,Robert Schwartz,2023-01-09,"South Africa, Netherlands",South Africa,Female,5271929@gmail.com,1984-09-25,Business Function
Scout Watts,scout.watts@domain.com,Executive Creative Director,6b,Miller Garrett,2019-06-03,South Africa,South Africa,Female,7905979@gmail.com,1988-05-16,Business Function
Dakota Gray,dakota.gray@domain.com,Creative,1b,Helen Faulkner,2021-09-06,Indonesia,Indonesia,Male,4311895@gmail.com,2000-12-16,Creative
Sarah Spears,sarah.spears@domain.com,Creative Project Manager,1a,Cecilia Fleming,2024-05-06,South Africa,South Africa,Male,4676572@gmail.com,1994-12-13,CPM
Ameer Pennington,ameer.pennington@domain.com,Senior Video Content Producer,3a,Cannon Howell,2023-10-16,Canada,Canada,Male,1243342@gmail.com,1987-12-21,Business Function
Yareli Hail,yareli.hail@domain.com,"Creative Director, Craft and Productivity",6a,Scout Watts,2023-02-06,United Kingdom,Spain,Male,4616338@gmail.com,1987-07-24,Business Function
Hector Copeland,hector.copeland@domain.com,Creative Team Lead,4b Manager,Poppy Golden,2022-09-05,South Africa,South Africa,Female,3892632@gmail.com,1984-10-02,Creative
Dayana Frost,dayana.frost@domain.com,Creative,2b,Kareem Wu,2024-01-08,Brazil,Brazil,Male,5754461@gmail.com,1989-11-22,Creative
Dario Andrade,dario.andrade@domain.com,Creative Team Lead,4b Manager,Aitana Lee,2021-09-06,Armenia,Armenia,Female,1548095@gmail.com,1992-08-09,Creative
Emmy Sandoval,emmy.sandoval@domain.com,Creative Lead,4a IC,Yareli Hail,2023-09-18,Argentina,Argentina,Male,4401410@gmail.com,1987-11-08,Business Function
Brantley Gallegos,brantley.gallegos@domain.com,Senior Frontend Engineer,3b,Luciana Espinoza,2022-09-01,Poland,Poland,Male,2044227@gmail.com,1991-06-30,Business Function
Ari Larsen,ari.larsen@domain.com,Creative,3b,Chaya Glover,2021-06-21,Mexico,Mexico,Male,1810936@gmail.com,1983-03-12,Creative
Brycen Velez,brycen.velez@domain.com,Global Senior Director of Business Development & Partnerships,6b,Laylah Valenzuela,2024-02-01,United States of America,United States of America,Male,2172789@gmail.com,1985-04-15,Business Function
Megan Garza,megan.garza@domain.com,Creative,2a,Helena Quinn,2019-03-11,Indonesia,Indonesia,Male,7833013@gmail.com,1992-03-18,Creative
Judah Sandoval,judah.sandoval@domain.com,Director of Production,6a,Robert Schwartz,2021-08-02,"South Africa",Netherlands,Female,1681802@gmail.com,1992-07-20,Business Function
Elsie Stevens,elsie.stevens@domain.com,Director of Finance,6a,Ian Chapman,2019-09-30,"South Africa",South Africa,Male,3010022@gmail.com,1989-02-02,Business Function
Zachary Whitaker,zachary.whitaker@domain.com,Creative Project Manager,1a,Alanna Knox,2023-12-04,Argentina,Argentina,Male,7290387@gmail.com,1996-12-17,CPM
Ivanna Lambert,ivanna.lambert@domain.com,Creative,3a,Harris Sawyer,2021-09-06,Brazil,Brazil,Male,5684025@gmail.com,1991-10-02,Creative
Mario Reeves,mario.reeves@domain.com,Creative,3a,Alexia Ponce,2021-03-15,Paraguay,Paraguay,Male,1979021@gmail.com,1985-05-28,Creative
Lana Burns,lana.burns@domain.com,Creative,3b,Davian Arellano,2021-10-04,Argentina,Argentina,Female,2826276@gmail.com,1988-11-27,Creative
August Garner,august.garner@domain.com,Creative Project Manager,2a,Dayton Howard,2021-07-05,"Colombia, Italy",Argentina,Female,8818700@gmail.com,1990-03-03,CPM
Jacqueline Owens,jacqueline.owens@domain.com,Enterprise Business Development Representative,2a,Kendra Anthony,2022-07-04,Netherlands,Netherlands,Male,3791637@gmail.com,1996-01-28,Business Function
Adriel Serrano,adriel.serrano@domain.com,Creative,3a,Stefan Tyler,2022-07-04,South Africa,South Africa,Female,4411594@gmail.com,1993-09-25,Creative
Allie Khan,allie.khan@domain.com,Revenue Operations Associate,2b,Kynlee Bauer,2022-01-10,"Italy, Argentina",Spain,Female,1485492@gmail.com,1992-05-13,Business Function
Kendrick Perry,kendrick.perry@domain.com,Product Manager,3b,Jonah Novak,2022-06-07,Hungary,Hungary,Male,1387933@gmail.com,1991-12-22,Business Function
Clara McFarland,clara.mcfarland@domain.com,Creative Project Manager,2b,Mack Townsend,2022-06-06,South Africa,South Africa,Female,5079469@gmail.com,1992-03-30,CPM
Dane Velasquez,dane.velasquez@domain.com,Creative Project Manager,3b,Esme Jacobs,2021-05-10,Mexico,Mexico,Male,7221688@gmail.com,1985-10-31,Business Function
Esme Jacobs,esme.jacobs@domain.com,Director of CPM Teams,6a,Donald Buck,2018-03-04,"Lebanon",Brazil,Male,3120066@gmail.com,1982-10-18,Business Function
Bryan Andersen,bryan.andersen@domain.com,Creative,4a IC,Avi Barnett,2022-07-04,Brazil,Brazil,Male,2899196@gmail.com,1991-03-06,Creative
Zoie Walker,zoie.walker@domain.com,Associate Creative Director,5a Manager,Jayden Henson,2021-05-03,"South Africa, Italy",South Africa,Female,3461484@gmail.com,1989-12-18,Business Function
Luke Wolf,luke.wolf@domain.com,Marketing Strategist,2a,Brantley Wang,2024-06-03,South Africa,South Africa,Female,8832787@gmail.com,1993-01-11,Business Function
Jolene Zavala,jolene.zavala@domain.com,Creative,3b,Addison Hoffman,2023-10-02,Brazil,Brazil,Female,1865843@gmail.com,1996-04-12,Business Function
Dillon Fitzpatrick,dillon.fitzpatrick@domain.com,Lead Backend Engineer,4a IC,Elaina Mack,2022-06-06,Romania,Romania,Male,4113639@gmail.com,1992-08-14,Business Function
Annabella McMahon,annabella.mcmahon@domain.com,AI Business Analyst,3a,Kynlee Bauer,2024-01-10,Bosnia & Herzegovina,Bosnia & Herzegovina,Male,4420891@gmail.com,1997-12-05,Business Function
Jakob Webb,jakob.webb@domain.com,Senior Motion Designer & Video Editor,3b,Cannon Howell,2022-07-06,Canada,Canada,Male,4127349@gmail.com,1993-05-12,Business Function
Ariella Bradley,ariella.bradley@domain.com,Account Executive,3a,Graysen Berger,2022-01-10,Canada,Canada,Male,3322553@gmail.com,1996-01-31,Business Function
Richard Dorsey,richard.dorsey@domain.com,Enterprise Business Development Representative,2a,Jeffery Farrell,2024-03-04,United Kingdom,Peru,Male,2219765@gmail.com,1989-03-04,Business Function
Addyson Guerrero,addyson.guerrero@domain.com,Marketing Operations Manager,4a IC,Kynlee Bauer,2022-03-21,"South Africa, United Kingdom",South Africa,Female,7377565@gmail.com,1993-04-01,Business Function
Bryce Pearson,bryce.pearson@domain.com,Customer Success Manager,2b,Mira Gaines,2021-08-02,South Africa,South Africa,Female,3132431@gmail.com,1990-07-24,Business Function
Kiara Martinez,kiara.martinez@domain.com,Operations Excellence Associate,3a,Titus Baxter,2023-01-09,Brazil,Brazil,Female,3245275@gmail.com,2000-05-24,Business Function
Alexander Walters,alexander.walters@domain.com,Senior Frontend Engineer,3a,Miracle Long,2022-05-02,Brazil,Brazil,Male,7084212@gmail.com,1996-06-25,Business Function
Samara Duffy,samara.duffy@domain.com,Creative,3b,Augustine Nixon,2021-10-04,Brazil,Brazil,Male,5527834@gmail.com,1984-07-07,Creative
Kyng Boyer,kyng.boyer@domain.com,Sales Development Representative,1b,Kali Cameron,2023-03-06,Brazil,Brazil,Male,5541263@gmail.com,1999-02-22,Business Function
Chaya Glover,chaya.glover@domain.com,Associate Creative Director,5a Manager,Aitana Lee,2021-10-04,Brazil,Brazil,Male,5029672@gmail.com,1981-07-21,Creative
Mack Valdez,mack.valdez@domain.com,Creative Strategy Lead,4a IC,Jayden Henson,2024-06-03,United Kingdom,Argentina,Female,8899151@gmail.com,1993-07-12,Business Function
Diana Dennis,diana.dennis@domain.com,Global Field Sales Account Executive,4a IC,Naya Small,2024-03-04,United States of America (USA),United States of America (USA),Male,3660772@gmail.com,1993-01-15,Business Function
Emanuel Mercado,emanuel.mercado@domain.com,Creative Project Manager,1a,Dennis Schneider,2024-01-08,Argentina,Argentina,Female,2631547@gmail.com,1996-10-26,CPM
Mckinley Cantrell,mckinley.cantrell@domain.com,Creative,1b,Robin Bradshaw,2022-06-06,Brazil,Brazil,Female,1499049@gmail.com,1994-03-11,Creative
Harris Sawyer,harris.sawyer@domain.com,Creative Team Lead,4b Manager,Galilea McIntyre,2022-03-07,Brazil,Brazil,Female,2197244@gmail.com,1991-06-05,Creative
Marina Savage,marina.savage@domain.com,Creative,2a,Chaya Glover,2023-10-02,"Argentina,Italy",Argentina,Female,7525458@gmail.com,1994-06-24,Creative
Keaton Weber,keaton.weber@domain.com,Creative Project Manager,1b,Reed Hill,2023-02-06,Brazil,Brazil,Female,2524114@gmail.com,1992-08-21,CPM
Alayah Aguirre,alayah.aguirre@domain.com,Senior UX/UI Designer,3a,Kace Solis,2022-11-07,Argentina,Argentina,Female,6696611@gmail.com,1998-05-09,Business Function
Andy Phelps,andy.phelps@domain.com,Creative,1a,Ayla Glenn,2022-07-04,Brazil,Brazil,Female,1712929@gmail.com,2000-03-18,Creative
Laney Nixon,laney.nixon@domain.com,Creative Project Manager,2a,Halle McCall,2021-09-06,Colombia,Colombia,Female,3643992@gmail.com,1993-08-07,CPM
Cory Harding,cory.harding@domain.com,Creative Project Manager,1a,Cedric Love,2023-07-03,Costa Rica,Costa Rica,Female,1358315@gmail.com,1995-10-02,CPM
Aniya Manning,aniya.manning@domain.com,Creative Lead,4b IC,Murphy Costa,2022-07-04,Colombia,Colombia,Male,3831594@gmail.com,1988-04-13,Creative
Seth Espinoza,seth.espinoza@domain.com,Creative Project Manager,1a,Emmitt McDowell,2024-09-02,Argentina,Costa Rica,Female,8326592@gmail.com,1998-10-31,CPM
Lucille O’Neill,lucille.o’neill@domain.com,Account Executive,3a,Graysen Berger,2022-12-05,South Africa,South Africa,Female,6035341@gmail.com,1987-05-23,Business Function
Marcel Garza,marcel.garza@domain.com,Customer Success Manager,2a,Scarlett Henderson,2024-05-06,"United Kingdom, Turkey",Bermuda,Female,7843416@gmail.com,1992-05-24,Business Function
River Abbott,river.abbott@domain.com,Creative Team Lead,4b Manager,Yareli Hail,2021-02-22,"Venezuela",Portugal,Female,4223268@gmail.com,1994-08-26,Business Function
Kohen Carlson,kohen.carlson@domain.com,Creative Team Lead,4b Manager,Poppy Golden,2021-04-01,South Africa,South Africa,Female,8336015@gmail.com,1984-07-29,Creative
Kali Cameron,kali.cameron@domain.com,Business Development Manager,4a Manager,Brycen Velez,2021-04-19,South Africa,Denmark,Female,8135418@gmail.com,1988-05-11,Business Function
Rayan Wiley,rayan.wiley@domain.com,Creative,3a,Davian Arellano,2022-01-10,South Africa,South Africa,Female,7778002@gmail.com,1995-02-17,Creative
Lauryn Soto,lauryn.soto@domain.com,Senior Enterprise Business Development Representative,2b,Imani Rivera,2022-02-07,Canada,Canada,Male,1032124@gmail.com,1993-02-05,Business Function
Barrett Potts,barrett.potts@domain.com,Creative Lead,4a IC,Javier Simpson,2021-11-04,Colombia,Colombia,Male,4557309@gmail.com,1991-01-09,Creative
Ellison Campbell,ellison.campbell@domain.com,Creative Project Manager,1a,Noah Figueroa,2023-09-04,South Africa,South Africa,Female,8269116@gmail.com,1995-09-22,CPM
Christopher Horton,christopher.horton@domain.com,Creative,2a,Dario Andrade,2021-06-14,Philippines,Philippines,Female,8512272@gmail.com,1989-01-27,Creative
Aitana McGuire,aitana.mcguire@domain.com,Producer,3a,Jerry Thomas,2023-07-03,Colombia,Colombia,Female,2762850@gmail.com,1986-09-14,Business Function
Casey Kaur,casey.kaur@domain.com,Senior Data Analyst,3a,Princeton White,2022-06-20,Brazil,Australia,Female,7265327@gmail.com,1994-09-27,Business Function
Holland Velez,holland.velez@domain.com,Creative Lead,4a IC,Livia Conley,2022-06-06,Portugal,Portugal,Female,7350312@gmail.com,1984-03-21,Creative
Kareem Parsons,kareem.parsons@domain.com,Creative Project Manager,1a,Dayton Howard,2023-10-02,Uruguay,Spain,Female,6960873@gmail.com,1992-02-21,CPM
Maia Clements,maia.clements@domain.com,Creative Project Manager,2a,Marisol Alexander,2022-06-06,Argentina,Argentina,Female,8969040@gmail.com,1991-11-28,CPM
Fisher Lozano,fisher.lozano@domain.com,Presales Scoping Expert & Project Manager,4b IC,Annika Alvarez,2021-10-04,Argentina,Argentina,Female,8741380@gmail.com,1988-03-18,Business Function
Cecelia Griffith,cecelia.griffith@domain.com,Creative,2a,Livia Conley,2021-10-04,Brazil,Brazil,Female,8056187@gmail.com,1996-01-16,Creative
Franklin Alvarado,franklin.alvarado@domain.com,Creative,3a,Mariam Ponce,2022-01-10,Brazil,Brazil,Female,6656756@gmail.com,1997-07-20,Creative
Blake Glover,blake.glover@domain.com,Creative Team Lead,4a Manager,Galilea McIntyre,2021-06-01,Colombia,Colombia,Female,8284872@gmail.com,1988-06-15,Creative
Mack Townsend,mack.townsend@domain.com,CPM Team Lead,4a Manager,Esme Jacobs,2021-06-01,"Colombia",Panama,Female,3203902@gmail.com,1995-06-24,CPM
Azalea Morrison,azalea.morrison@domain.com,Senior Marketing Strategist,3a,Jerry Thomas,2023-10-16,South Africa,South Africa,Female,7542496@gmail.com,1986-01-22,Business Function
Maximus Waller,maximus.waller@domain.com,Data Engineer,3a,Princeton White,2022-10-17,France,Spain,Female,5469351@gmail.com,1991-03-14,Business Function
Whitley Hudson,whitley.hudson@domain.com,Senior Backend Engineer,3a,Major O’Neal,2022-02-07,India,India,Male,4854326@gmail.com,1998-03-29,Business Function
Peter Wells,peter.wells@domain.com,Account Executive,3b,Lewis Reese,2021-04-19,South Africa,South Africa,Male,6155501@gmail.com,1995-02-09,Business Function
Cecilia Fleming,cecilia.fleming@domain.com,CPM Team Lead,4a Manager,Jett Gutierrez,2021-06-01,Venezuela,Argentina,Female,2836780@gmail.com,1990-10-06,CPM
Fernando Winters,fernando.winters@domain.com,Creative Lead,4a IC,Hector Copeland,2022-05-03,South Africa,South Africa,Male,1993155@gmail.com,1985-05-28,Creative
Kataleya Ventura,kataleya.ventura@domain.com,Creative,3b,Robin Bradshaw,2019-03-13,Bulgaria,Bulgaria,Female,1423791@gmail.com,1986-12-31,Creative
Branson Bauer,branson.bauer@domain.com,Influencer Partnerships Senior Marketing Manager,4b IC,Nataly Whitehead,2022-03-07,Canada,Canada,Female,5687662@gmail.com,1994-12-12,Business Function
Haley Brady,haley.brady@domain.com,Senior Enterprise Business Development Representative,2b,Jeffery Farrell,2023-01-09,Norway,Mexico,Male,7366772@gmail.com,1987-06-09,Business Function
