staff_id,name,username,email,position,position_level,styles,industries,software,citizenship,residence,offboarded_at,created_at
10015,Haven Larsen,haven.larsen,haven.larsen@domain.com,SPECIALIST,5,,,[],Egypt,Egypt,,1/4/2018 0:02:01
10016,Brycen Jaramillo,brycen.jaramillo,brycen.jaramillo@domain.com,CORE,4,,[Other],[PowerPoint],Mexico,Mexico,,1/4/2018 0:02:10
10017,Guadalupe Howe,guadalupe.howe,guadalupe.howe@domain.com,SPECIALIST,2,[],"[Lifestyle, Marketing]",[Other],South Africa,South Africa,,1/4/2018 0:02:18
10018,Alaric Santos,alaric.santos,alaric.santos@domain.com,CORE,5,"[Minimalistic, Corporate, Modern]",[Branding],[PowerPoint],Philippines,Mexico,,1/4/2018 0:02:27
10019,Alana Pineda,alana.pineda,alana.pineda@domain.com,DESIGN_DIRECTOR,5,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[PowerPoint],"Argentina, Spain",Argentina,,1/4/2018 0:02:36
10020,Gerardo Perry,gerardo.perry,gerardo.perry@domain.com,ADMIN,1,[Other],,[Other],Philippines,Philippines,,1/4/2018 0:02:44
10021,Clara Gardner,clara.gardner,clara.gardner@domain.com,ADMIN,1,[],,[PowerPoint],Germany,Germany,,1/4/2018 0:02:53
10022,Alan Wilkerson,alan.wilkerson,alan.wilkerson@domain.com,DESIGN_DIRECTOR,2,,[Branding],[],Mexico,Mexico,,1/4/2018 0:03:01
10023,Janiyah Casey,janiyah.casey,janiyah.casey@domain.com,DESIGN_DIRECTOR,1,[Original],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Colombia,Colombia,,1/4/2018 0:03:10
10024,Armando Merritt,armando.merritt,armando.merritt@domain.com,ADMIN,3,[],[Branding],[],Colombia,Colombia,,1/4/2018 0:03:19
10025,Kaisley Kelley,kaisley.kelley,kaisley.kelley@domain.com,SPECIALIST,1,[Original],"[Lifestyle, Marketing]","[Illustrator, Photoshop]",Colombia,Colombia,,1/4/2018 0:03:27
10026,Eric Leon,eric.leon,eric.leon@domain.com,PROJECTMANAGER,5,"[Minimalistic, Corporate, Modern]",,[PowerPoint],Honduras,Honduras,,1/4/2018 0:03:36
10027,Amora Golden,amora.golden,amora.golden@domain.com,,,[Corporate],,"[Illustrator, Photoshop]",El Salvador,Germany,,1/4/2018 0:03:45
10028,Amias Huffman,amias.huffman,amias.huffman@domain.com,,,"[Minimalistic, Corporate, Modern]",[Film],[PowerPoint],El Salvador,El Salvador,,1/4/2018 0:03:53
10029,Hayley Clark,hayley.clark,hayley.clark@domain.com,,,[Other],[Branding],[PowerPoint],Poland,Poland,,1/4/2018 0:04:02
10030,John Pacheco,john.pacheco,john.pacheco@domain.com,CORE,4,,[Other],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Brazil,Brazil,,1/4/2018 0:04:11
10031,Paris Madden,paris.madden,paris.madden@domain.com,SPECIALIST,1,"[Minimalistic, Corporate, Modern]",,[Other],"Italy, Australia",Netherlands,,1/4/2018 0:04:19
10032,Everest Ray,everest.ray,everest.ray@domain.com,PROJECTMANAGER,5,[Original],[Branding],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Brazil,Brazil,,1/4/2018 0:04:28
10033,Ruth York,ruth.york,ruth.york@domain.com,ADMIN,5,,,[PowerPoint],Mexico,Mexico,,1/4/2018 0:04:36
10034,Leandro Hayden,leandro.hayden,leandro.hayden@domain.com,SPECIALIST,2,[Original],"[Finance, Technology, Corporate]","[Illustrator, Photoshop]",South Africa,South Africa,,1/4/2018 0:04:45
10035,Avayah Orr,avayah.orr,avayah.orr@domain.com,DESIGN_DIRECTOR,1,[Original],"[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",South Africa,South Africa,,1/4/2018 0:04:54
10036,Benicio Parsons,benicio.parsons,benicio.parsons@domain.com,SPECIALIST,3,,"[Finance, Technology, Corporate]","[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Brazil,Brazil,,1/4/2018 0:05:02
10037,Maia Novak,maia.novak,maia.novak@domain.com,CORE,2,[Other],[Film],[],"Uruguay, Argentina",Argentina,,1/4/2018 0:05:11
10038,Bishop Weiss,bishop.weiss,bishop.weiss@domain.com,CORE,4,,"[Finance, Technology, Corporate]",[Other],Nicaragua,Nicaragua,,1/4/2018 0:05:20
10039,Lennox Lu,lennox.lu,lennox.lu@domain.com,CORE,2,[Other],,[PowerPoint],Romania,Germany,,1/4/2018 0:05:28
10040,Duncan Wilkinson,duncan.wilkinson,duncan.wilkinson@domain.com,SPECIALIST,1,[Original],[Film],[],Canada,Canada,,1/4/2018 0:05:37
10041,Siena Stone,siena.stone,siena.stone@domain.com,DESIGN_DIRECTOR,4,[Corporate],[Other],[Other],Brazil,Brazil,,1/4/2018 0:05:46
10042,Finn Romero,finn.romero,finn.romero@domain.com,DESIGN_DIRECTOR,4,,,"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Portugal,Portugal,,1/4/2018 0:05:54
10043,Eliza Wright,eliza.wright,eliza.wright@domain.com,SPECIALIST,4,,[Film],[Other],Ukraine,Spain,,1/4/2018 0:06:03
10044,Grayson Burke,grayson.burke,grayson.burke@domain.com,ADMIN,2,[Other],[Other],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]","South Africa, Portugal",Portugal,,1/4/2018 0:06:12
10045,Vera Escobar,vera.escobar,vera.escobar@domain.com,CORE,2,[Original],,[PowerPoint],South Africa,South Africa,,1/4/2018 0:06:20
10046,Zachariah Campbell,zachariah.campbell,zachariah.campbell@domain.com,ADMIN,2,,"[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Bosnia & Herzegovina,Bosnia & Herzegovina,,1/4/2018 0:06:29
10047,Addison Hoffman,addison.hoffman,addison.hoffman@domain.com,ADMIN,4,[],"[Lifestyle, Marketing]",[Other],Spain,Spain,,1/4/2018 0:06:37
10048,Steven Bryant,steven.bryant,steven.bryant@domain.com,,,[],[Other],[PowerPoint],South Africa,South Africa,,1/4/2018 0:06:46
10049,Parker Hendrix,parker.hendrix,parker.hendrix@domain.com,,,,[Other],[PowerPoint],Jordan,Jordan,,1/4/2018 0:06:55
10050,Korbyn Hubbard,korbyn.hubbard,korbyn.hubbard@domain.com,SPECIALIST,2,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[Other],Tunisia,Tunisia,,1/4/2018 0:07:03
10051,Rosie Freeman,rosie.freeman,rosie.freeman@domain.com,SPECIALIST,5,[],[Other],"[Illustrator, Photoshop]",Malaysia,Mexico,,1/4/2018 0:07:12
10052,Jayce Mata,jayce.mata,jayce.mata@domain.com,CORE,4,[Original],"[Finance, Technology, Corporate]",[Other],Mexico,Mexico,,1/4/2018 0:07:21
10053,Lillie McCoy,lillie.mccoy,lillie.mccoy@domain.com,PROJECTMANAGER,2,[Original],[Film],[],South Africa,South Africa,,1/4/2018 0:07:29
10054,Jett Gutierrez,jett.gutierrez,jett.gutierrez@domain.com,,,[Corporate],[Branding],[PowerPoint],South Africa,South Africa,,1/4/2018 0:07:38
10055,Savannah Murray,savannah.murray,savannah.murray@domain.com,SPECIALIST,3,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop]",Brazil,Portugal,,1/4/2018 0:07:47
10056,Ashton Sims,ashton.sims,ashton.sims@domain.com,PROJECTMANAGER,1,[],,"[Illustrator, Photoshop]",Mexico,Mexico,,1/4/2018 0:07:55
10057,Lena Page,lena.page,lena.page@domain.com,PROJECTMANAGER,1,[Corporate],"[Lifestyle, Marketing]","[Illustrator, Photoshop]",Mexico,Mexico,,1/4/2018 0:08:04
10058,Pablo Livingston,pablo.livingston,pablo.livingston@domain.com,PROJECTMANAGER,4,"[Minimalistic, Corporate, Modern]",[Film],[Other],Brazil,Brazil,,1/4/2018 0:08:12
10059,Milena Zavala,milena.zavala,milena.zavala@domain.com,SPECIALIST,1,"[Minimalistic, Corporate, Modern]","[Lifestyle, Marketing]","[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",El Salvador,El Salvador,,1/4/2018 0:08:21
10060,Dillon Duncan,dillon.duncan,dillon.duncan@domain.com,SPECIALIST,2,"[Minimalistic, Corporate, Modern]",[Branding],[PowerPoint],Venezuela,Argentina,,1/4/2018 0:08:30
10061,Elise McCarty,elise.mccarty,elise.mccarty@domain.com,CORE,3,,[Film],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Colombia,Colombia,,1/4/2018 0:08:38
10062,Blaise Stephens,blaise.stephens,blaise.stephens@domain.com,,,[Original],[Film],[],Colombia,Colombia,,1/4/2018 0:08:47
10063,Millie Nichols,millie.nichols,millie.nichols@domain.com,DESIGN_DIRECTOR,1,[Corporate],"[Finance, Technology, Corporate]",[],Ecuador,Spain,,1/4/2018 0:08:56
10064,Atlas Olsen,atlas.olsen,atlas.olsen@domain.com,ADMIN,5,"[Minimalistic, Corporate, Modern]","[Lifestyle, Marketing]","[Illustrator, Photoshop]","Colombia, Spain",Colombia,,1/4/2018 0:09:04
10065,Oaklyn Russo,oaklyn.russo,oaklyn.russo@domain.com,DESIGN_DIRECTOR,2,[],[Branding],"[Illustrator, Photoshop]",Argentina,Argentina,,1/4/2018 0:09:13
10066,Jamie Duarte,jamie.duarte,jamie.duarte@domain.com,CORE,2,"[Minimalistic, Corporate, Modern]",[Film],"[Illustrator, Photoshop]","Venezuela",Colombia,,1/4/2018 0:09:22
10067,Kynlee Bauer,kynlee.bauer,kynlee.bauer@domain.com,SPECIALIST,4,[Corporate],"[Finance, Technology, Corporate]",[Other],Greece,Greece,,1/4/2018 0:09:30
10068,Kieran Lindsey,kieran.lindsey,kieran.lindsey@domain.com,,,,"[Lifestyle, Marketing]",[],Romania,Romania,,1/4/2018 0:09:39
10069,Colette Bryan,colette.bryan,colette.bryan@domain.com,CORE,5,[Other],"[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]","Venezuela, Spain",Venezuela,,1/4/2018 0:09:48
10070,Jaxtyn Higgins,jaxtyn.higgins,jaxtyn.higgins@domain.com,SPECIALIST,1,[Other],[Film],"[Illustrator, Photoshop]",Colombia,Colombia,,1/4/2018 0:09:56
10071,Leighton May,leighton.may,leighton.may@domain.com,DESIGN_DIRECTOR,4,[],,[Other],Argentina,Argentina,,1/4/2018 0:10:05
10072,Finley Welch,finley.welch,finley.welch@domain.com,CORE,2,,[Other],[],Costa Rica,Costa Rica,,1/4/2018 0:10:13
10073,Amira Roy,amira.roy,amira.roy@domain.com,,,[],[Branding],[PowerPoint],Zimbabwe,South Africa,,1/4/2018 0:10:22
10074,Marcelo Mitchell,marcelo.mitchell,marcelo.mitchell@domain.com,,,[Other],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Panama,Panama,,1/4/2018 0:10:31
10075,Willow Hensley,willow.hensley,willow.hensley@domain.com,DESIGN_DIRECTOR,4,,[Other],[PowerPoint],Colombia,Colombia,,1/4/2018 0:10:39
10076,Layne Ellis,layne.ellis,layne.ellis@domain.com,,,"[Minimalistic, Corporate, Modern]",[Other],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Mexico,Mexico,,1/4/2018 0:10:48
10077,Ayla Glenn,ayla.glenn,ayla.glenn@domain.com,DESIGN_DIRECTOR,4,[Corporate],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Spain,Spain,,1/4/2018 0:10:57
10078,Zaid Clay,zaid.clay,zaid.clay@domain.com,SPECIALIST,3,[Original],"[Lifestyle, Marketing]","[Illustrator, Photoshop]",Argentina,Argentina,,1/4/2018 0:11:05
10079,Aliana Friedman,aliana.friedman,aliana.friedman@domain.com,SPECIALIST,1,[],[Film],[Other],South Africa,South Africa,,1/4/2018 0:11:14
10080,Darwin Nava,darwin.nava,darwin.nava@domain.com,,,"[Minimalistic, Corporate, Modern]",[Branding],"[Illustrator, Photoshop]","South Africa, Netherlands",South Africa,,1/4/2018 0:11:23
10081,Scout Watts,scout.watts,scout.watts@domain.com,ADMIN,2,,,[],South Africa,South Africa,,1/4/2018 0:11:31
10082,Dakota Gray,dakota.gray,dakota.gray@domain.com,DESIGN_DIRECTOR,2,[],"[Finance, Technology, Corporate]","[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Indonesia,Indonesia,,1/4/2018 0:11:40
10083,Sarah Spears,sarah.spears,sarah.spears@domain.com,DESIGN_DIRECTOR,1,[],"[Lifestyle, Marketing]",[PowerPoint],South Africa,South Africa,,1/4/2018 0:11:48
10084,Ameer Pennington,ameer.pennington,ameer.pennington@domain.com,CORE,2,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[PowerPoint],Canada,Canada,,1/4/2018 0:11:57
10085,Yareli Hail,yareli.hail,yareli.hail@domain.com,CORE,2,[],"[Lifestyle, Marketing]",[],United Kingdom,Spain,,1/4/2018 0:12:06
10086,Hector Copeland,hector.copeland,hector.copeland@domain.com,ADMIN,4,[Corporate],,[],South Africa,South Africa,,1/4/2018 0:12:14
10087,Dayana Frost,dayana.frost,dayana.frost@domain.com,DESIGN_DIRECTOR,5,[Original],[Film],[PowerPoint],Brazil,Brazil,,1/4/2018 0:12:23
10088,Dario Andrade,dario.andrade,dario.andrade@domain.com,SPECIALIST,1,[Other],[Film],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Armenia,Armenia,,1/4/2018 0:12:32
10089,Emmy Sandoval,emmy.sandoval,emmy.sandoval@domain.com,SPECIALIST,2,[],[Other],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Argentina,Argentina,,1/4/2018 0:12:40
10090,Brantley Gallegos,brantley.gallegos,brantley.gallegos@domain.com,SPECIALIST,1,[Original],,"[Illustrator, Photoshop]",Poland,Poland,,1/4/2018 0:12:49
10091,Ari Larsen,ari.larsen,ari.larsen@domain.com,CORE,2,[Corporate],,[Other],Mexico,Mexico,,1/4/2018 0:12:58
10092,Brycen Velez,brycen.velez,brycen.velez@domain.com,ADMIN,4,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",United States of America,United States of America,,1/4/2018 0:13:06
10093,Megan Garza,megan.garza,megan.garza@domain.com,PROJECTMANAGER,2,,[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Indonesia,Indonesia,,1/4/2018 0:13:15
10094,Judah Sandoval,judah.sandoval,judah.sandoval@domain.com,CORE,3,,"[Lifestyle, Marketing]",[Other],"South Africa",Netherlands,,1/4/2018 0:13:24
10095,Elsie Stevens,elsie.stevens,elsie.stevens@domain.com,DESIGN_DIRECTOR,4,,[Other],"[Illustrator, Photoshop]","South Africa",South Africa,,1/4/2018 0:13:32
10096,Zachary Whitaker,zachary.whitaker,zachary.whitaker@domain.com,ADMIN,2,[Original],[Film],[Other],Argentina,Argentina,,1/4/2018 0:13:41
10097,Ivanna Lambert,ivanna.lambert,ivanna.lambert@domain.com,PROJECTMANAGER,5,[Other],[Film],[PowerPoint],Brazil,Brazil,,1/4/2018 0:13:49
10098,Mario Reeves,mario.reeves,mario.reeves@domain.com,DESIGN_DIRECTOR,4,[],"[Finance, Technology, Corporate]",[PowerPoint],Paraguay,Paraguay,,1/4/2018 0:13:58
10099,Lana Burns,lana.burns,lana.burns@domain.com,,,[],[Branding],"[Illustrator, Photoshop]",Argentina,Argentina,,1/4/2018 0:14:07
10100,August Garner,august.garner,august.garner@domain.com,ADMIN,1,"[Minimalistic, Corporate, Modern]","[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]","Colombia, Italy",Argentina,,1/4/2018 0:14:15
10101,Jacqueline Owens,jacqueline.owens,jacqueline.owens@domain.com,SPECIALIST,5,,[Other],"[Illustrator, Photoshop]",Netherlands,Netherlands,,1/4/2018 0:14:24
10102,Adriel Serrano,adriel.serrano,adriel.serrano@domain.com,,,[Other],[Other],"[Illustrator, Photoshop]",South Africa,South Africa,,1/4/2018 0:14:33
10103,Allie Khan,allie.khan,allie.khan@domain.com,,,[Corporate],,[PowerPoint],"Italy, Argentina",Spain,,1/4/2018 0:14:41
10104,Kendrick Perry,kendrick.perry,kendrick.perry@domain.com,PROJECTMANAGER,4,"[Minimalistic, Corporate, Modern]","[Lifestyle, Marketing]",[PowerPoint],Hungary,Hungary,,1/4/2018 0:14:50
10105,Clara McFarland,clara.mcfarland,clara.mcfarland@domain.com,SPECIALIST,5,[Original],,[],South Africa,South Africa,,1/4/2018 0:14:59
10106,Dane Velasquez,dane.velasquez,dane.velasquez@domain.com,ADMIN,1,[Corporate],"[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Mexico,Mexico,,1/4/2018 0:15:07
10107,Esme Jacobs,esme.jacobs,esme.jacobs@domain.com,DESIGN_DIRECTOR,5,[Original],"[Lifestyle, Marketing]",[Other],"Lebanon",Brazil,,1/4/2018 0:15:16
10108,Bryan Andersen,bryan.andersen,bryan.andersen@domain.com,CORE,5,"[Minimalistic, Corporate, Modern]",[Branding],[PowerPoint],Brazil,Brazil,,1/4/2018 0:15:24
10109,Zoie Walker,zoie.walker,zoie.walker@domain.com,DESIGN_DIRECTOR,5,[],,"[Illustrator, Photoshop]","South Africa, Italy",South Africa,,1/4/2018 0:15:33
10110,Luke Wolf,luke.wolf,luke.wolf@domain.com,PROJECTMANAGER,1,"[Minimalistic, Corporate, Modern]",,[Other],South Africa,South Africa,,1/4/2018 0:15:42
10111,Jolene Zavala,jolene.zavala,jolene.zavala@domain.com,DESIGN_DIRECTOR,3,[Corporate],[Film],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Brazil,Brazil,,1/4/2018 0:15:50
10112,Dillon Fitzpatrick,dillon.fitzpatrick,dillon.fitzpatrick@domain.com,SPECIALIST,4,[Corporate],[Film],[PowerPoint],Romania,Romania,,1/4/2018 0:15:59
10113,Annabella McMahon,annabella.mcmahon,annabella.mcmahon@domain.com,,,[Original],"[Lifestyle, Marketing]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Bosnia & Herzegovina,Bosnia & Herzegovina,,1/4/2018 0:16:08
10114,Jakob Webb,jakob.webb,jakob.webb@domain.com,PROJECTMANAGER,5,[Corporate],"[Finance, Technology, Corporate]",[],Canada,Canada,,1/4/2018 0:16:16
10115,Ariella Bradley,ariella.bradley,ariella.bradley@domain.com,DESIGN_DIRECTOR,3,[Other],,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Canada,Canada,,1/4/2018 0:16:25
10116,Richard Dorsey,richard.dorsey,richard.dorsey@domain.com,ADMIN,3,[Original],"[Lifestyle, Marketing]",[],United Kingdom,Peru,,1/4/2018 0:16:34
10117,Addyson Guerrero,addyson.guerrero,addyson.guerrero@domain.com,,,[Corporate],"[Lifestyle, Marketing]",[Other],"South Africa, United Kingdom",South Africa,,1/4/2018 0:16:42
10118,Bryce Pearson,bryce.pearson,bryce.pearson@domain.com,ADMIN,4,[Original],[Film],[PowerPoint],South Africa,South Africa,,1/4/2018 0:16:51
10119,Kiara Martinez,kiara.martinez,kiara.martinez@domain.com,DESIGN_DIRECTOR,4,[],[Film],[Other],Brazil,Brazil,,1/4/2018 0:17:00
10120,Alexander Walters,alexander.walters,alexander.walters@domain.com,ADMIN,5,[Corporate],[Other],"[Illustrator, Photoshop]",Brazil,Brazil,,1/4/2018 0:17:08
10121,Samara Duffy,samara.duffy,samara.duffy@domain.com,ADMIN,4,[Corporate],[Film],[Other],Brazil,Brazil,,1/4/2018 0:17:17
10122,Kyng Boyer,kyng.boyer,kyng.boyer@domain.com,PROJECTMANAGER,5,[],"[Finance, Technology, Corporate]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Brazil,Brazil,,1/4/2018 0:17:25
10123,Chaya Glover,chaya.glover,chaya.glover@domain.com,,,[Corporate],,[PowerPoint],Brazil,Brazil,,1/4/2018 0:17:34
10124,Mack Valdez,mack.valdez,mack.valdez@domain.com,ADMIN,5,[Other],,[],United Kingdom,Argentina,,1/4/2018 0:17:43
10125,Diana Dennis,diana.dennis,diana.dennis@domain.com,PROJECTMANAGER,1,[],,[Other],United States of America (USA),United States of America (USA),,1/4/2018 0:17:51
10126,Emanuel Mercado,emanuel.mercado,emanuel.mercado@domain.com,,,[],[Branding],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Argentina,Argentina,,1/4/2018 0:18:00
10127,Mckinley Cantrell,mckinley.cantrell,mckinley.cantrell@domain.com,CORE,4,[],[Branding],"[Illustrator, Photoshop]",Brazil,Brazil,,1/4/2018 0:18:09
10128,Harris Sawyer,harris.sawyer,harris.sawyer@domain.com,ADMIN,4,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]",[PowerPoint],Brazil,Brazil,,1/4/2018 0:18:17
10129,Marina Savage,marina.savage,marina.savage@domain.com,SPECIALIST,3,[Original],[Film],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]","Argentina,Italy",Argentina,,1/4/2018 0:18:26
10130,Keaton Weber,keaton.weber,keaton.weber@domain.com,CORE,3,[Corporate],[Branding],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Brazil,Brazil,,1/4/2018 0:18:35
10131,Alayah Aguirre,alayah.aguirre,alayah.aguirre@domain.com,ADMIN,5,[Corporate],,[Other],Argentina,Argentina,,1/4/2018 0:18:43
10132,Andy Phelps,andy.phelps,andy.phelps@domain.com,SPECIALIST,2,[Original],[Branding],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Brazil,Brazil,,1/4/2018 0:18:52
10133,Laney Nixon,laney.nixon,laney.nixon@domain.com,SPECIALIST,4,"[Minimalistic, Corporate, Modern]",[Film],[PowerPoint],Colombia,Colombia,,1/4/2018 0:19:00
10134,Cory Harding,cory.harding,cory.harding@domain.com,ADMIN,2,[Original],[Branding],"[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Costa Rica,Costa Rica,,1/4/2018 0:19:09
10135,Aniya Manning,aniya.manning,aniya.manning@domain.com,SPECIALIST,3,,[Branding],[],Colombia,Colombia,,1/4/2018 0:19:18
10136,Seth Espinoza,seth.espinoza,seth.espinoza@domain.com,SPECIALIST,3,[Original],,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Argentina,Costa Rica,,1/4/2018 0:19:26
10137,Lucille O’Neill,lucille.o’neill,lucille.o’neill@domain.com,,,[Other],[Branding],[PowerPoint],South Africa,South Africa,,1/4/2018 0:19:35
10138,Marcel Garza,marcel.garza,marcel.garza@domain.com,CORE,3,[Corporate],"[Lifestyle, Marketing]",[PowerPoint],"United Kingdom, Turkey",Bermuda,,1/4/2018 0:19:44
10139,River Abbott,river.abbott,river.abbott@domain.com,ADMIN,2,"[Minimalistic, Corporate, Modern]",[Other],[],"Venezuela",Portugal,,1/4/2018 0:19:52
10140,Kohen Carlson,kohen.carlson,kohen.carlson@domain.com,PROJECTMANAGER,4,[Original],[Other],[PowerPoint],South Africa,South Africa,,1/4/2018 0:20:01
10141,Kali Cameron,kali.cameron,kali.cameron@domain.com,,,"[Minimalistic, Corporate, Modern]",[Film],[PowerPoint],South Africa,Denmark,,1/4/2018 0:20:10
10142,Rayan Wiley,rayan.wiley,rayan.wiley@domain.com,CORE,2,"[Minimalistic, Corporate, Modern]",[Other],[PowerPoint],South Africa,South Africa,,1/4/2018 0:20:18
10143,Lauryn Soto,lauryn.soto,lauryn.soto@domain.com,PROJECTMANAGER,3,"[Minimalistic, Corporate, Modern]","[Finance, Technology, Corporate]","[SquareSpace, Shopify, PowerPoint, Photoshop, Illustrator]",Canada,Canada,,1/4/2018 0:20:27
10144,Barrett Potts,barrett.potts,barrett.potts@domain.com,ADMIN,2,,[Film],"[Illustrator, Photoshop]",Colombia,Colombia,,1/4/2018 0:20:36
10145,Ellison Campbell,ellison.campbell,ellison.campbell@domain.com,PROJECTMANAGER,2,[Corporate],[Branding],[PowerPoint],South Africa,South Africa,,1/4/2018 0:20:44
10146,Christopher Horton,christopher.horton,christopher.horton@domain.com,SPECIALIST,1,[Original],,[PowerPoint],Philippines,Philippines,,1/4/2018 0:20:53
10147,Aitana McGuire,aitana.mcguire,aitana.mcguire@domain.com,,,[Original],"[Finance, Technology, Corporate]",[],Colombia,Colombia,,1/4/2018 0:21:01
10148,Casey Kaur,casey.kaur,casey.kaur@domain.com,SPECIALIST,1,[Original],"[Finance, Technology, Corporate]",[Other],Brazil,Australia,,1/4/2018 0:21:10
10149,Holland Velez,holland.velez,holland.velez@domain.com,PROJECTMANAGER,4,,[Other],"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",Portugal,Portugal,,1/4/2018 0:21:19
10150,Kareem Parsons,kareem.parsons,kareem.parsons@domain.com,DESIGN_DIRECTOR,5,[Corporate],[Other],"[Illustrator, Photoshop]",Uruguay,Spain,,1/4/2018 0:21:27
